CENTRO_POBLADO;LATITUD;LONGITUD;3G;4G;VOZ;SMS;MMS;CANT_EB_3G;CANT_EB_4G
JOSE MARIA ARGUEDAS;-8.00197;-77.5668;1;1;1;1;0;0;0
PATAZ;-7.7848;-77.594218;1;1;1;1;0;1;1
SANTA FILOMENA (KAROLA);-7.71934;-77.63566;1;0;1;1;0;0;0
SAPOTE;-7.72504;-77.65586;1;1;1;1;0;0;0
CARHUACOTO;-7.73313;-77.62057;1;1;1;1;0;0;0
EL VADO;-7.72982;-77.6661;1;1;1;1;0;0;0
CEDRO;-7.74509;-77.6273;1;1;1;1;0;4;4
QUEBRADA HONDA;-7.74439;-77.62156;1;0;1;1;0;0;0
BELLAVISTA;-7.760687;-77.589997;1;1;1;1;0;0;0
EL POTRERO;-7.775641;-77.5866;1;0;1;1;0;0;0
EL ALTO;-7.78214;-77.59878;1;1;1;1;0;0;0
MAYAS;-7.78697;-77.58531;1;0;1;1;0;0;0
LAS DELICIAS;-7.7921;-77.59455;1;1;1;1;0;0;0
SAN ANTONIO;-7.72183;-77.66486;1;1;1;1;0;0;0
HUAMACHUCO;-7.81563;-78.048687;1;0;1;1;0;3;5
SANJAPAMPA;-7.77654;-77.99806;1;1;1;1;0;1;1
LLAMPA;-7.77331;-78.1186;1;0;1;1;0;0;0
LA CUCHILLA;-7.8189;-78.02368;1;0;1;1;0;0;0
CUMUMBAMBA;-7.85603;-78.02264;1;0;1;1;0;0;0
CERRO CAMPANA;-7.78707;-77.9811;1;0;1;1;0;0;0
QUINTA BAJA;-7.823425553;-78.03013969;0;1;0;0;0;1;1
COIGOBAMBA BAJA;-7.83699;-77.99636;1;1;1;1;0;1;1
COIGOBAMBA ALTO;-7.84705;-77.99698;1;1;1;1;0;0;0
CASUMACA;-7.759426862;-78.03375643;0;1;0;0;0;1;1
CHUGAY;-7.782297;-77.867706;1;1;1;1;0;0;0
EL CALLEJON;-7.698743;-77.827397;1;0;1;1;0;1;1
LICAME;-7.76667;-77.8351;1;0;1;1;0;1;0
MACULLIDA;-7.78804;-77.79302;1;1;1;1;0;2;1
PAMPA DEL CONDOR;-7.79926;-77.87272;1;1;1;1;0;1;1
PISHAULI;-7.80904;-77.86939;1;1;1;1;0;0;0
PURGATORIO;-7.82853;-77.87215;1;0;1;1;0;0;0
CARRIZAL;-7.83575;-77.86886;1;0;1;1;0;0;0
LA INEA;-7.84976;-77.85255;1;0;1;1;0;0;0
LLUCURQUE;-7.85882;-77.86417;1;1;1;1;0;0;0
LA CONGA;-7.86043;-77.83197;1;1;1;1;0;0;0
